Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0083035	4641	1623	1721	6395	2850	3333	2402	2431	2424	3266	3914	4135	3095.26	2419	3772	1.55	0.633	4.553	5.28000381509978e-06	0.000163874644724439	0.0047	0.028	0.0136	0.0136	TRUE	NA
FBtr0075707	24	16	11	66	68	82	12	24	15	34	93	102	46.78	17	76	4.004	2.001	4.553	5.29380753743014e-06	0.000164015322495055	0.0332	0.1651	0.1023	0.1023	TRUE	NA
FBtr0070822	28245	33006	37192	56681	52911	62280	14618	49437	52391	28945	72660	77266	49219.34	38815	59624	1.625	0.7	4.545	5.48836597955187e-06	0.000169154499206014	0.0109	0.0261	0.0171	0.0171	TRUE	NA
FBtr0308620	3324	884	743	5183	1671	1626	1720	1324	1047	2647	2295	2017	1841.61	1364	2320	1.718	0.781	4.532	5.84408643368802e-06	0.000179804753214565	0.0139	0.0295	0.0207	0.0207	TRUE	NA
FBtr0302561	106	15	24	247	81	158	55	22	34	126	111	196	90.75	37	144	3.974	1.991	4.528	5.94421044118938e-06	0.000182567755060905	0.1448	0.0977	0.1199	0.1199	TRUE	NA
FBtr0079523	484	117	125	970	245	231	250	175	176	495	336	287	286.7	200	373	1.846	0.885	4.528	5.96309317468147e-06	0.000182830296972773	0.003	0.0486	0.023	0.023	TRUE	NA
FBtr0082018	475	156	186	953	301	336	246	234	262	487	413	417	343.06	247	439	1.779	0.831	4.525	6.04378423837836e-06	0.00018498371446566	0.0021	0.0449	0.0208	0.0208	TRUE	NA
FBtr0088073	1978	756	769	2835	1257	1414	1024	1132	1083	1448	1726	1754	1361.24	1080	1643	1.515	0.6	4.498	6.87268686798911e-06	0.000207482428978832	0.0011	0.0307	0.012	0.012	TRUE	NA
FBtr0334633	26	8	10	84	53	50	13	12	14	43	73	62	36.21	13	59	4.277	2.097	4.496	6.91938726271456e-06	0.000208181768817489	0.0196	0.2058	0.1092	0.1092	TRUE	NA
FBtr0077136	271	74	78	589	152	164	140	111	110	301	209	203	178.99	120	238	1.969	0.977	4.493	7.02309558057027e-06	0.000210585735450625	2e-04	0.0623	0.027	0.027	TRUE	NA
FBtr0340405	295	82	81	1157	183	168	153	123	114	591	251	208	240.03	130	350	2.482	1.311	4.489	7.14477495372335e-06	0.00021351049612554	0.0568	0.0531	0.0548	0.0548	TRUE	NA
FBtr0339974	143	26	32	397	108	73	74	39	45	203	148	91	99.94	53	147	2.798	1.484	4.484	7.33701323783355e-06	0.000218517005371235	0.0354	0.0911	0.0633	0.0633	TRUE	NA
